##### bftga! (ode)  d4lorenz ::: Sat May  2 00:05:17 2015

#####                b               pm               pr                q                r
#####             2.67                5               10      5.329990234             4500
#
# sk  lk               q                r               x1               x2               x3               x4              wr1              wa1              wr2              wa2              wr3              wa3              wr4              wa4              tau  bftype
  43   2      5.354300537      4565.998047               0     -606.8734652      4698.743042      66.99707473     0.6176877521      1.000005188     0.6176877521      1.000005188      1.000000001      1.000000001    0.03382002175    0.03382002175     0.2179667277  bfnsa 0(D)
  44   2      5.355216064      4567.998047               0     -607.1467829      4700.757084      67.00967742     0.6180158043      0.999995228     0.6180158043      0.999995228      1.000000001      1.000000001    0.03384877981    0.03384877981     0.2179177246  bfnsa 0(D)
  45   2      5.356137695      4569.998047               0     -607.4229281      4702.779611      67.02268493     0.6183575799       1.00000932     0.6183575799       1.00000932     0.9999999993     0.9999999993    0.03387606886    0.03387606886     0.2178686086  bfnsa 0(D)
  46   2      5.357053223      4571.998047               0      -607.696322      4704.793727      67.03528637     0.6186850333     0.9999997652     0.6186850333     0.9999997652     0.9999999967     0.9999999967    0.03390481028    0.03390481028     0.2178196686  bfnsa 0(D)
  47   2      5.357962646      4573.998047               0      -607.970312       4706.80957      67.04796827     0.6190149929     0.9999951804     0.6190149929     0.9999951804      0.999999999      0.999999999    0.03393325111    0.03393325111     0.2177707312  bfnsa 0(D)
  48   2      5.358878174      4575.998047               0     -608.2460171      4708.830524      67.06089287     0.6193530765      1.000005092     0.6193530765      1.000005092      1.000000001      1.000000001    0.03396080551    0.03396080551     0.2177217387  bfnsa 0(D)
  49   2      5.359787598      4577.998047               0     -608.5189653      4710.843058      67.07341131      0.619676827     0.9999913807      0.619676827     0.9999913807                1                1      0.033989815      0.033989815     0.2176729219  bfnsa 0(D)
  50   2      5.360703125      4579.998047               0     -608.7947488       4712.86409       67.0863347     0.6200143222      1.000001687     0.6200143222      1.000001687     0.9999999985     0.9999999985    0.03401735164    0.03401735164     0.2176239924  bfnsa 0(D)
  51   2      5.361624756      4581.998047               0     -609.0700123      4714.883468      67.09917637     0.6203487165      1.000007424     0.6203487165      1.000007424     0.9999999995     0.9999999995    0.03404517209    0.03404517209      0.217575123  bfnsa 0(D)
  52   2      5.362540283      4583.998047               0      -609.343634      4716.897805      67.11177406     0.6206743874     0.9999990785     0.6206743874     0.9999990785      1.000000001      1.000000001    0.03407386356    0.03407386356     0.2175263715  bfnsa 0(D)
  53   2      5.363449707      4585.998047               0     -609.6178538      4718.913872      67.12445225     0.6210025737     0.9999956946     0.6210025737     0.9999956946                1                1    0.03410225344    0.03410225344     0.2174776224  bfnsa 0(D)
  54   2      5.364365234      4587.998047               0     -609.8937948      4720.935059      67.13737325      0.621338902      1.000006781      0.621338902      1.000006781     0.9999999974     0.9999999974    0.03412975391    0.03412975391     0.2174288183  bfnsa 0(D)
  55   2      5.365274658      4589.998047               0      -610.166969      4722.947812      67.14988793     0.6216608784     0.9999942826     0.6216608784     0.9999942826     0.9999999975     0.9999999975    0.03415871409    0.03415871409     0.2173801892  bfnsa 0(D)
  56   2      5.366190186      4591.998047               0     -610.4429886      4724.969076      67.16280772     0.6219966264      1.000005757     0.6219966264      1.000005757      0.999999999      0.999999999    0.03418619643    0.03418619643     0.2173314476  bfnsa 0(D)
  57   2      5.367099609      4593.998047               0      -610.716238      4726.981901      67.17532115     0.6223180166     0.9999936622     0.6223180166     0.9999936622     0.9999999994     0.9999999994    0.03421514012    0.03421514012     0.2172828809  bfnsa 0(D)
  58   2      5.368015137      4595.998047               0     -610.9923361      4729.003243      67.18823976     0.6226531873      1.000005525     0.6226531873      1.000005525      1.000000001      1.000000001    0.03424260432    0.03424260432     0.2172342016  bfnsa 0(D)
  59   2      5.368924561      4597.998047               0     -611.2656608      4731.016142      67.20075195     0.6229739943     0.9999938332     0.6229739943     0.9999938332     0.9999999979     0.9999999979     0.0342715315     0.0342715315     0.2171856971  bfnsa 0(D)
  60   2      5.369840088      4599.998047               0     -611.5418375      4733.037561      67.21366936     0.6233085904      1.000006083     0.6233085904      1.000006083     0.9999999992     0.9999999992    0.03429897749    0.03429897749       0.21713708  bfnsa 0(D)
  61   2      5.370749512      4601.998047               0     -611.8152375      4735.050532      67.22618032     0.6236288166     0.9999947907     0.6236288166     0.9999947907      1.000000002      1.000000002    0.03432788792    0.03432788792     0.2170886375  bfnsa 0(D)
  62   2      5.371665039      4603.998047               0     -612.0914929      4737.072029      67.23909655     0.6239628408      1.000007426     0.6239628408      1.000007426      1.000000006      1.000000006    0.03435531557    0.03435531557     0.2170400826  bfnsa 0(D)
  63   2      5.372574463      4605.998047               0     -612.3649683      4739.085073      67.25160627     0.6242824893     0.9999965344     0.6242824893     0.9999965344      1.000000005      1.000000005    0.03438420933    0.03438420933      0.216991702  bfnsa 0(D)
  64   2      5.373477783      4607.998047               0     -612.6390449      4741.099852      67.26419655     0.6246046675     0.9999905884     0.6246046675     0.9999905884      1.000000001      1.000000001    0.03441279988    0.03441279988     0.2169433237  bfnsa 0(D)
