##### bfnsn! (ode)  BZlr ::: Sun Nov  3 12:16:58 2019

#####              eps                f                q
#####              0.5     0.7212572531           0.0008
#
# sk  lk             eps                f               x0               x1              wr0              wa0              wr1              wa1              tau  bftype
 144   9     0.4866000977     0.7135936644    -8.045421923                0      0.999998868      0.999998868      1.000436475      1.000436475    0.02798919907  bftga 0(D)
 145   8     0.4865000977      0.713536645     -8.04531206                0     0.9999980506     0.9999980506      1.000258496      1.000258496    0.02799184871  bftga 0(D)
 146   9     0.4864000977     0.7134796281    -8.045193041                0     0.9999970019     0.9999970019      1.000316119      1.000316119    0.02799452835  bftga 0(D)
 147   9     0.4863000977     0.7134226138    -8.045080126                0     0.9996291346     0.9996291346      1.000002623      1.000002623    0.02799711939  bftga 0(D)
 148   9     0.4862000977      0.713365602    -8.044961108                0     0.9999982895     0.9999982895      1.000407456      1.000407456    0.02799988911  bftga 0(D)
 149   8     0.4861000977     0.7133085928    -8.044851245                0     0.9999939086     0.9999939086      1.000203046      1.000203046     0.0280025404  bftga 0(D)
 150   9     0.4860000977     0.7132515861    -8.044732226                0     0.9999984852     0.9999984852      1.000226977      1.000226977    0.02800522194  bftga 0(D)
 151   9     0.4859000977      0.713194582    -8.044619311                0     0.9995079194     0.9995079194      1.000001686      1.000001686    0.02800781409  bftga 0(D)
 152   9     0.4858000977     0.7131375804    -8.044500292                0     0.9999958915     0.9999958915      1.000265612      1.000265612    0.02801058645  bftga 0(D)
 153   9     0.4857000977     0.7130805814    -8.044387377                0       0.99952761       0.99952761      1.000000783      1.000000783    0.02801317917  bftga 0(D)
 154   9     0.4856000977      0.713023585    -8.044268359                0      1.000000375      1.000000375      1.000268941      1.000268941    0.02801595285  bftga 0(D)
 155   9     0.4855000977     0.7129665911    -8.044155444                0     0.9995186508     0.9995186508      1.000000141      1.000000141    0.02801854612  bftga 0(D)
 156   9     0.4854000977     0.7129095997    -8.044036425                0     0.9999978328     0.9999978328      1.000250766      1.000250766    0.02802132111  bftga 0(D)
 157   9     0.4853000977      0.712852611    -8.043917407                0     0.9999995236     0.9999995236      1.000476931      1.000476931    0.02802403626  bftga 0(D)
 158   8     0.4852000977     0.7127956247    -8.043807543                0     0.9999954935     0.9999954935      1.000203544      1.000203544    0.02802669121  bftga 0(D)
 159   9     0.4851000977     0.7127386411    -8.043688525                0     0.9999928355     0.9999928355      1.000170508      1.000170508    0.02802937693  bftga 0(D)
 160   9     0.4850000977     0.7126816599    -8.043569506                0     0.9999981207     0.9999981207      1.000372818      1.000372818    0.02803209362  bftga 0(D)
 161   9     0.4849000977     0.7126246814    -8.043456591                0     0.9995667583     0.9995667583      1.000000903      1.000000903    0.02803468851  bftga 0(D)
 162   9     0.4848000977     0.7125677054    -8.043337573                0      0.999997863      0.999997863      1.000265963      1.000265963    0.02803746742  bftga 0(D)
 163   9     0.4847000977     0.7125107319    -8.043218554                0     0.9999979067     0.9999979067      1.000453463      1.000453463    0.02804018569  bftga 0(D)
 164   9     0.4846000977      0.712453761    -8.043105639                0     0.9996198601     0.9996198601      1.000001538      1.000001538    0.02804278136  bftga 0(D)
 165   9     0.4845000977     0.7123967927    -8.042986621                0     0.9999983965     0.9999983965      1.000302145      1.000302145    0.02804556221  bftga 0(D)
 166   9     0.4844000977     0.7123398269    -8.042867602                0     0.9999985353     0.9999985353      1.000469152      1.000469152    0.02804828203  bftga 0(D)
 167   9     0.4843000977     0.7122828637    -8.042754687                0     0.9996097014     0.9996097014      1.000000941      1.000000941    0.02805087844  bftga 0(D)
 168   9     0.4842000977      0.712225903    -8.042635668                0     0.9999971921     0.9999971921      1.000275244      1.000275244    0.02805366121  bftga 0(D)
 169   9     0.4841000977     0.7121689449     -8.04251665                0     0.9999977177     0.9999977177      1.000421119      1.000421119    0.02805638254  bftga 0(D)
 170   9     0.4840000977     0.7121119894    -8.042403735                0     0.9995334248     0.9995334248       1.00000091       1.00000091    0.02805897964  bftga 0(D)
 171   9     0.4839000977     0.7120550364    -8.042284716                0     0.9999941645     0.9999941645      1.000184279      1.000184279     0.0280617643  bftga 0(D)
 172   9     0.4838000977      0.711998086    -8.042165698                0     0.9999952103     0.9999952103      1.000308536      1.000308536     0.0280644871  bftga 0(D)
 173   9     0.4837000977     0.7119411381    -8.042046679                0     0.9999971656     0.9999971656      1.000425145      1.000425145    0.02806721043  bftga 0(D)
 174   9     0.4836000977     0.7118841928    -8.041933764                0     0.9994991691     0.9994991691      1.000001763      1.000001763    0.02806980845  bftga 0(D)
 175   9     0.4835000977       0.71182725    -8.041814746                0     0.9999935926     0.9999935926      1.000127739      1.000127739    0.02807259563  bftga 0(D)
 176   9     0.4834000977     0.7117703098    -8.041695727                0     0.9999972912     0.9999972912      1.000221034      1.000221034    0.02807532039  bftga 0(D)
 177   9     0.4833000977     0.7117133722    -8.041576708                0     0.9999977536     0.9999977536      1.000310673      1.000310673    0.02807804566  bftga 0(D)
 178   9     0.4832000977     0.7116564371     -8.04145769                0      0.999997096      0.999997096      1.000394502      1.000394502    0.02808077144  bftga 0(D)
 179   9     0.4831000977     0.7115995046    -8.041338671                0     0.9999966502     0.9999966502      1.000471149      1.000471149    0.02808349773  bftga 0(D)
 180   9     0.4830000977     0.7115425747    -8.041225756                0     0.9994896046     0.9994896046      1.000000701      1.000000701    0.02808609706  bftga 0(D)
 181   9     0.4829000977     0.7114856473    -8.041106738                0     0.9999894355     0.9999894355      1.000085177      1.000085177    0.02808888796  bftga 0(D)
 182   9     0.4828000977     0.7114287224    -8.040987719                0     0.9999954042     0.9999954042      1.000133114      1.000133114    0.02809161561  bftga 0(D)
 183   9     0.4827000977     0.7113718001    -8.040868701                0     0.9999967641     0.9999967641      1.000178531      1.000178531    0.02809434375  bftga 0(D)
 184   9     0.4826000977     0.7113148804    -8.040749682                0     0.9999925649     0.9999925649      1.000222339      1.000222339    0.02809707237  bftga 0(D)
 185   9     0.4825000977     0.7112579633    -8.040630664                0     0.9999981928     0.9999981928      1.000249105      1.000249105    0.02809980148  bftga 0(D)
 186   9     0.4824000977     0.7112010487    -8.040511645                0     0.9999975969     0.9999975969      1.000274847      1.000274847    0.02810253107  bftga 0(D)
 187   9     0.4823000977     0.7111441367    -8.040392626                0     0.9999983716     0.9999983716      1.000291928      1.000291928    0.02810526113  bftga 0(D)
 188   9     0.4822000977     0.7110872272    -8.040273608                0     0.9999983382     0.9999983382      1.000302486      1.000302486    0.02810799166  bftga 0(D)
 189   9     0.4821000977     0.7110303203    -8.040154589                0     0.9999959477     0.9999959477       1.00030803       1.00030803    0.02811072266  bftga 0(D)
 190   9     0.4820000977     0.7109734159    -8.040035571                0     0.9999978252     0.9999978252      1.000301892      1.000301892    0.02811345412  bftga 0(D)
 191   9     0.4819000977     0.7109165142    -8.039916552                0     0.9999971874     0.9999971874      1.000290817      1.000290817    0.02811618604  bftga 0(D)
 192   9     0.4818000977     0.7108596149    -8.039797534                0     0.9999961996     0.9999961996      1.000272597      1.000272597    0.02811891842  bftga 0(D)
 193   9     0.4817000977     0.7108027183    -8.039678515                0     0.9999983829     0.9999983829       1.00024367       1.00024367    0.02812165125  bftga 0(D)
 194   9     0.4816000977     0.7107458242    -8.039559497                0     0.9999963164     0.9999963164      1.000211417      1.000211417    0.02812438452  bftga 0(D)
